,location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,type_of_conflict_name,start_date,start_date2,ep_end,region,region_name
52,Syria,Government of Syria,,PYD,,1,Rojava Kurdistan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",9/10/2011,9/7/2012,1,2,Middle East
53,Ukraine,Government of Ukraine,,Maidan,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/22/2014,2/18/2014,1,1,Europe
54,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
55,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
56,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
57,Somalia,Government of Somalia,"Government of Burundi, Government of Djibouti, Government of Ethiopia, Government of Ghana, Government of Kenya, Government of Nigeria, Government of Sierra Leone, Government of Uganda, Government of United States of America, Government of Zambia",Al-Shabaab,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/18/1982,10/24/2006,0,4,Africa
58,"Argentina, United Kingdom",Government of Argentina,,Government of United Kingdom,,1,Malvinas/Falkland Islands,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/2/1982,5/2/1982,1,"1, 5",Americas
59,"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/16/1982,12/31/1986,0,3,Asia
60,"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/16/1982,12/31/1986,0,3,Asia
61,"Laos, Thailand",Government of Laos,,Government of Thailand,,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/16/1982,12/31/1986,1,3,Asia
62,"Chad, Nigeria",Government of Chad,,Government of Nigeria,,1,Lake Chad,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/18/1983,4/24/1983,1,4,Africa
63,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
64,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
65,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
66,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
67,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
68,Russia (Soviet Union),Government of Russia (Soviet Union),,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/21/2015,8/1/2015,0,1,Europe
69,Syria,Government of Syria,,IS,,1,Islamic State,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/26/2013,7/25/2013,0,2,Middle East
70,Syria,Government of Syria,,IS,,1,Islamic State,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/26/2013,7/25/2013,0,2,Middle East
71,"Grenada, United States of America",Government of Grenada,,Government of United States of America,,2,,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),10/25/1983,10/25/1983,1,5,Americas
72,Algeria,Government of Algeria,"Government of Chad, Government of Mali, Government of Niger",AQIM,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",8/27/1985,12/9/1991,0,4,Africa
73,"Burkina Faso, Mali",Government of Burkina Faso,,Government of Mali,,1,Agacher Strip,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),12/25/1985,12/26/1985,1,4,Africa
74,"Chad, Libya",Government of Chad,,Government of Libya,,1,Aozou strip,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),8/8/1987,8/8/1987,1,4,Africa
75,Burkina Faso,Government of Burkina Faso,Government of Mali,JNIM,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/15/1987,5/22/2018,0,4,Africa
76,Burkina Faso,Government of Burkina Faso,Government of France,JNIM,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/15/1987,5/22/2018,0,4,Africa
77,Mali,Government of Mali,,FLM,,1,Macina Empire,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/5/2015,6/27/2015,1,4,Africa
78,Burkina Faso,Government of Burkina Faso,Government of France,JNIM,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/15/1987,5/22/2018,0,4,Africa
79,"Panama, United States of America",Government of Panama,,Government of United States of America,,2,,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),12/16/1989,12/23/1989,1,5,Americas
80,Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",2/11/1990,7/15/2007,0,3,Asia
81,Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",2/11/1990,7/15/2007,0,3,Asia
82,Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",2/11/1990,7/15/2007,0,3,Asia
83,Pakistan,Government of Pakistan,Government of Afghanistan,TTP,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",2/11/1990,7/15/2007,0,3,Asia
84,Mali,Government of Mali,"Government of Armenia, Government of Austria, Government of Bangladesh, Government of Belgium, Government of Benin, Government of Bhutan, Government of Bosnia-Herzegovina, Government of Burkina Faso, Government of Burundi, Government of Cambodia (Kampuchea), Government of Cameroon, Government of Chad, Government of China, Government of Czech Republic, Government of Denmark, Government of Djibouti, Government of DR Congo (Zaire), Government of Egypt, Government of El Salvador, Government of Estonia, Government of Finland, Government of France, Government of Gambia, Government of Germany, Government of Ghana, Government of Guinea, Government of Guinea-Bissau, Government of Indonesia, Government of Italy, Government of Ivory Coast, Government of Jordan, Government of Kenya, Government of Latvia, Government of Liberia, Government of Madagascar, Government of Mauritania, Government of Nepal, Government of Netherlands, Government of Niger, Government of Nigeria, Government of Norway, Government of Portugal, Government of Romania, Government of Rwanda, Government of Senegal, Government of Sierra Leone, Government of Sweden, Government of Switzerland, Government of Togo, Government of Tunisia, Government of Turkey, Government of United Kingdom, Government of United States of America, Government of Yemen (North Yemen)",CMA,,1,Azawad,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",6/28/1990,5/17/2014,1,4,Africa
85,Cameroon,Government of Cameroon,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/19/2015,8/11/2015,1,4,Africa
86,"Iraq, Kuwait",Government of Iraq,,Government of Kuwait,,1,Kuwait,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),8/2/1990,8/2/1990,0,2,Middle East
87,"Iraq, Kuwait",Government of Iraq,,Government of Kuwait,"Government of Argentina, Government of Australia, Government of Bahrain, Government of Bangladesh, Government of Belgium, Government of Canada, Government of Czechoslovakia, Government of Denmark, Government of Egypt, Government of France, Government of Greece, Government of Honduras, Government of Italy, Government of Morocco, Government of Netherlands, Government of Niger, Government of Norway, Government of Oman, Government of Pakistan, Government of Portugal, Government of Qatar, Government of Saudi Arabia, Government of Senegal, Government of Sierra Leone, Government of Spain, Government of Syria, Government of Turkey, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",1,Kuwait,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),8/2/1990,8/2/1990,1,2,Middle East
88,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FPR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,10/3/1990,0,4,Africa
89,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,2/16/2009,0,4,Africa
90,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,2/16/2009,0,4,Africa
91,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,2/16/2009,0,4,Africa
92,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,2/16/2009,1,4,Africa
93,Chad,Government of Chad,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/27/2015,5/27/2015,1,4,Africa
94,Chad,Government of Chad,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/27/2015,5/5/2017,0,4,Africa
95,Chad,Government of Chad,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/27/2015,5/5/2017,0,4,Africa
96,Chad,Government of Chad,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/27/2015,5/5/2017,0,4,Africa
97,Chad,Government of Chad,,IS,,1,Islamic State,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/27/2015,5/5/2017,0,4,Africa
98,Rwanda,Government of Rwanda,Government of DR Congo (Zaire),FDLR,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/1/1990,3/29/2016,1,4,Africa
